src,dst,type,aromacity,conjugation
0,1,5,1,1
0,2,1.0,0,0
0,3,5,1,1
1,4,5,1,1
1,5,5,1,1
2,6,1.0,0,0
3,7,5,1,1
4,8,5,1,1
5,9,5,1,1
6,10,1.0,0,0
6,11,1.0,0,0
8,12,5,1,1
10,13,1.0,0,1
11,14,1.0,0,1
11,15,2.0,0,1
13,16,1.0,0,0
13,17,2.0,0,1
14,18,1.0,0,0
16,19,1.0,0,0
16,20,1.0,0,0
18,21,1.0,0,0
18,22,1.0,0,0
19,23,1.0,0,0
20,24,1.0,0,1
21,25,1.0,0,1
21,26,2.0,0,1
22,27,1.0,0,0
24,28,1.0,0,0
24,29,2.0,0,1
25,30,1.0,0,0
28,31,1.0,0,0
28,32,1.0,0,0
30,33,1.0,0,0
30,34,1.0,0,0
31,35,1.0,0,0
32,36,1.0,0,1
33,37,1.0,0,0
34,38,1.0,0,1
34,39,2.0,0,1
36,40,2.0,0,1
37,41,5,1,1
37,42,5,1,1
38,43,1.0,0,0
41,44,5,1,1
42,45,5,1,1
43,46,1.0,0,0
43,47,1.0,0,0
44,48,5,1,1
46,49,1.0,0,1
46,50,2.0,0,1
48,51,1.0,0,1
49,52,1.0,0,0
52,53,1.0,0,0
52,54,1.0,0,0
53,55,1.0,0,1
53,56,2.0,0,1
54,57,1.0,0,0
55,58,1.0,0,0
57,59,1.0,0,0
57,60,1.0,0,0
58,61,1.0,0,0
58,62,1.0,0,0
61,63,1.0,0,1
61,64,2.0,0,1
62,65,1.0,0,0
63,66,1.0,0,0
63,67,1.0,0,0
65,68,1.0,0,0
66,69,1.0,0,0
66,70,1.0,0,0
67,71,1.0,0,0
68,72,1.0,0,0
70,73,1.0,0,1
70,74,2.0,0,1
72,75,1.0,0,1
73,76,1.0,0,0
75,77,1.0,0,1
75,78,2.0,0,1
4,7,5,1,1
9,12,5,1,1
35,36,1.0,0,0
45,48,5,1,1
69,71,1.0,0,0
76,79,1.0,0,0
23,80,5,1,1
80,81,5,1,1
81,82,5,1,1
82,83,5,1,1
23,83,5,1,1
47,84,1.0,0,0
84,85,1.0,0,0
84,86,1.0,0,0
