atomic_number,valence,charge,degree,hydrogens,radicals,aromacity,mass,VdW_radius
6,4,0,3,0,0,1,12.011,1.7
16,2,0,2,0,0,0,32.067,1.8
6,4,0,3,0,0,1,12.011,1.7
6,4,0,2,1,0,1,12.011,1.7
6,4,0,3,0,0,1,12.011,1.7
6,4,0,3,0,0,1,12.011,1.7
8,2,0,1,1,0,0,15.999,1.55
6,4,0,3,0,0,1,12.011,1.7
6,4,0,3,0,0,1,12.011,1.7
6,4,0,2,1,0,1,12.011,1.7
6,4,0,2,1,0,1,12.011,1.7
17,1,0,1,0,0,0,35.453,1.8
17,1,0,1,0,0,0,35.453,1.8
6,4,0,3,0,0,1,12.011,1.7
8,2,0,1,1,0,0,15.999,1.55
6,4,0,3,0,0,1,12.011,1.7
6,4,0,2,1,0,1,12.011,1.7
17,1,0,1,0,0,0,35.453,1.8
17,1,0,1,0,0,0,35.453,1.8
