src,dst,type,aromacity,conjugation
0,1,1.0,0,0
0,2,1.0,0,0
0,3,1.0,0,0
1,4,1.0,0,0
1,5,1.0,0,0
1,6,1.0,0,0
2,7,1.0,0,0
2,8,1.0,0,0
2,9,1.0,0,0
3,10,1.0,0,0
4,11,1.0,0,0
4,12,1.0,0,0
5,13,1.0,0,0
5,14,2.0,0,0
7,15,1.0,0,0
7,16,1.0,0,0
8,17,1.0,0,0
11,18,1.0,0,0
12,19,1.0,0,0
15,20,1.0,0,0
18,21,1.0,0,0
18,22,1.0,0,0
18,23,1.0,0,0
20,24,1.0,0,0
20,25,1.0,0,0
21,26,1.0,0,0
24,27,1.0,0,0
28,26,1.0,0,0
27,29,1.0,0,0
28,30,1.0,0,0
28,31,1.0,0,0
29,32,2.0,0,0
30,33,1.0,0,0
31,34,1.0,0,0
31,35,1.0,0,0
32,36,1.0,0,0
32,37,1.0,0,0
33,38,1.0,0,0
33,39,1.0,0,0
34,40,1.0,0,0
36,41,1.0,0,0
38,42,1.0,0,0
39,43,1.0,0,0
44,41,1.0,0,0
44,45,1.0,0,0
44,46,1.0,0,0
45,47,1.0,0,0
46,48,1.0,0,0
46,49,1.0,0,0
47,50,1.0,0,0
47,51,1.0,0,0
48,52,1.0,0,0
50,53,1.0,0,0
51,54,1.0,0,0
55,53,1.0,0,0
55,56,1.0,0,0
55,57,1.0,0,0
56,58,1.0,0,0
57,59,1.0,0,0
57,60,1.0,0,0
58,61,1.0,0,0
58,62,1.0,0,0
59,63,1.0,0,0
61,64,1.0,0,0
62,65,1.0,0,0
7,13,1.0,0,0
10,11,2.0,0,0
15,17,1.0,0,0
19,21,1.0,0,0
34,38,1.0,0,0
48,51,1.0,0,0
59,61,1.0,0,0
