atomic_number,valence,charge,degree,hydrogens,radicals,aromacity,mass,VdW_radius
26,6,-2,6,0,0,0,55.845,2.05
6,4,0,2,0,0,0,12.011,1.7
6,4,0,2,0,0,0,12.011,1.7
6,4,0,2,0,0,0,12.011,1.7
6,4,0,2,0,0,0,12.011,1.7
6,4,0,2,0,0,0,12.011,1.7
7,3,0,2,0,0,0,14.007,1.6
7,3,0,1,0,0,0,14.007,1.6
7,3,0,1,0,0,0,14.007,1.6
7,3,0,1,0,0,0,14.007,1.6
7,3,0,1,0,0,0,14.007,1.6
7,3,0,1,0,0,0,14.007,1.6
8,2,0,1,0,0,0,15.999,1.55
8,2,0,0,2,0,0,15.999,1.55
8,2,0,0,2,0,0,15.999,1.55
11,0,1,0,0,0,0,22.99,2.4
11,0,1,0,0,0,0,22.99,2.4
