src,dst,type,aromacity,conjugation
9,13,1.0,0,0
9,14,1.0,0,0
10,15,1.0,0,0
10,16,1.0,0,0
11,17,1.0,0,0
18,13,1.0,0,0
14,19,1.0,0,0
15,20,1.0,0,0
15,21,1.0,0,0
18,22,1.0,0,0
18,23,1.0,0,0
20,24,1.0,0,0
20,25,1.0,0,0
21,26,1.0,0,0
22,27,1.0,0,0
22,45,1.0,0,0
24,28,1.0,0,1
24,29,2.0,0,1
27,30,1.0,0,0
45,31,1.0,0,0
30,32,1.0,0,0
32,33,1.0,0,0
32,34,1.0,0,0
33,35,1.0,0,0
34,36,1.0,0,0
34,37,1.0,0,0
35,38,1.0,0,0
35,39,1.0,0,0
35,40,1.0,0,0
38,41,1.0,0,0
39,42,1.0,0,0
5,7,1.0,0,0
8,11,1.0,0,0
18,19,1.0,0,0
30,31,1.0,0,0
36,38,1.0,0,0
0,1,1.0,0,0
0,2,1.0,0,0
0,3,1.0,0,0
0,4,1.0,0,0
5,1,1.0,0,0
45,43,1.0,0,0
6,2,1.0,0,0
3,7,1.0,0,0
4,8,1.0,0,0
5,44,1.0,0,0
5,9,1.0,0,0
6,10,1.0,0,0
6,11,1.0,0,0
8,12,1.0,0,0
23,46,1.0,0,0
