src,dst,type,aromacity,conjugation
0,1,5,1,1
0,2,5,1,1
0,3,5,1,1
1,4,5,1,1
1,5,5,1,1
2,6,5,1,1
2,7,5,1,1
3,8,1.0,0,0
3,9,5,1,1
4,10,5,1,1
4,11,5,1,1
5,12,5,1,1
5,13,1.0,0,0
6,14,1.0,0,1
7,15,5,1,1
8,16,1.0,0,0
8,17,1.0,0,0
9,18,5,1,1
10,19,1.0,0,0
11,20,5,1,1
12,21,5,1,1
13,22,1.0,0,0
14,23,1.0,0,1
15,24,5,1,1
17,25,1.0,0,0
18,26,5,1,1
20,27,5,1,1
21,28,5,1,1
25,29,1.0,0,0
6,10,5,1,1
7,9,5,1,1
11,12,5,1,1
13,16,1.0,0,0
19,23,1.0,0,0
22,25,1.0,0,0
24,26,5,1,1
27,28,5,1,1
14,30,2.0,0,1
13,31,1.0,0,0
22,32,1.0,0,0
32,33,1.0,0,0
29,34,1.0,0,0
