src,dst,type,aromacity,conjugation
0,1,1.0,0,0
0,2,1.0,0,0
0,3,1.0,0,0
0,4,1.0,0,0
1,5,1.0,0,0
1,6,1.0,0,0
2,7,1.0,0,0
3,8,1.0,0,0
4,9,1.0,0,1
5,10,5,1,1
5,11,5,1,1
6,12,1.0,0,0
6,13,1.0,0,0
8,14,1.0,0,0
9,15,1.0,0,0
9,16,2.0,0,1
10,17,5,1,1
11,18,5,1,1
14,19,1.0,0,0
14,20,1.0,0,0
15,21,1.0,0,0
17,22,5,1,1
19,23,1.0,0,0
21,24,1.0,0,0
22,25,1.0,0,0
23,26,1.0,0,0
26,27,1.0,0,0
27,28,5,1,1
27,29,5,1,1
28,30,5,1,1
29,31,5,1,1
30,32,5,1,1
31,33,5,1,1
32,34,5,1,1
33,35,5,1,1
7,10,1.0,0,0
18,22,5,1,1
30,31,5,1,1
34,35,5,1,1
