src,dst,type,aromacity,conjugation
0,1,1.0,0,0
7,8,1.0,0,1
7,9,2.0,0,1
8,10,1.0,0,1
8,11,2.0,0,1
9,12,1.0,0,1
9,13,1.0,0,0
10,14,2.0,0,1
10,15,1.0,0,1
12,16,2.0,0,1
14,17,1.0,0,1
15,18,1.0,0,0
12,14,1.0,0,1
1,19,2.0,0,0
19,20,1.0,0,0
19,21,1.0,0,0
17,22,1.0,0,0
2,3,1.0,0,0
3,4,2.0,0,0
4,5,1.0,0,0
4,6,1.0,0,0
5,0,1.0,0,0
23,24,1.0,0,0
24,25,2.0,0,0
25,26,1.0,0,0
25,27,1.0,0,0
2,26,1.0,0,0
28,29,1.0,0,0
29,30,2.0,0,0
30,31,1.0,0,0
30,32,1.0,0,0
23,31,1.0,0,0
33,34,1.0,0,0
34,35,2.0,0,0
35,36,1.0,0,0
35,37,1.0,0,0
28,36,1.0,0,0
38,39,1.0,0,0
39,40,2.0,0,0
40,41,1.0,0,0
40,42,1.0,0,0
33,41,1.0,0,0
43,44,1.0,0,0
44,45,2.0,0,0
45,46,1.0,0,0
45,47,1.0,0,0
38,46,1.0,0,0
48,49,1.0,0,0
49,50,2.0,0,0
50,51,1.0,0,0
50,52,1.0,0,0
43,51,1.0,0,0
53,54,1.0,0,0
54,55,2.0,0,0
55,56,1.0,0,0
55,57,1.0,0,0
48,56,1.0,0,0
53,7,1.0,0,0
