src,dst,type,aromacity,conjugation
0,1,1.0,0,0
0,2,1.0,0,0
0,3,1.0,0,0
1,4,1.0,0,0
1,5,1.0,0,0
2,6,1.0,0,0
3,7,1.0,0,0
5,8,1.0,0,0
6,9,1.0,0,0
7,10,1.0,0,0
8,11,1.0,0,0
8,12,1.0,0,0
8,13,2.0,0,0
10,14,1.0,0,0
10,15,1.0,0,0
10,16,2.0,0,0
11,17,1.0,0,0
18,14,1.0,0,0
19,17,1.0,0,0
18,20,1.0,0,0
18,21,1.0,0,0
19,22,1.0,0,0
19,23,1.0,0,0
20,24,1.0,0,0
20,25,1.0,0,0
21,26,1.0,0,0
22,27,1.0,0,0
23,28,1.0,0,0
23,29,1.0,0,0
25,30,1.0,0,0
26,31,1.0,0,0
27,32,1.0,0,0
33,34,1.0,0,0
33,35,1.0,0,0
33,36,1.0,0,0
34,37,1.0,0,0
34,38,1.0,0,0
35,39,1.0,0,0
36,40,1.0,0,0
38,41,1.0,0,0
39,42,1.0,0,0
40,43,1.0,0,0
41,44,1.0,0,0
41,45,1.0,0,0
41,46,2.0,0,0
43,47,1.0,0,0
43,48,1.0,0,0
43,49,2.0,0,0
44,50,1.0,0,0
51,47,1.0,0,0
52,50,1.0,0,0
51,53,1.0,0,0
51,54,1.0,0,0
52,55,1.0,0,0
52,56,1.0,0,0
53,57,1.0,0,0
53,58,1.0,0,0
54,59,1.0,0,0
55,60,1.0,0,0
56,61,1.0,0,0
56,62,1.0,0,0
58,63,1.0,0,0
59,64,1.0,0,0
60,65,1.0,0,0
4,6,1.0,0,0
24,26,1.0,0,0
27,28,1.0,0,0
37,39,1.0,0,0
57,59,1.0,0,0
60,61,1.0,0,0
