src,dst,type,aromacity,conjugation
0,1,1.0,0,0
1,2,1.0,0,0
2,3,1.0,0,0
3,4,1.0,0,0
0,4,1.0,0,0
3,5,1.0,0,0
0,6,1.0,0,0
6,7,1.0,0,0
1,8,1.0,0,0
8,9,1.0,0,0
9,10,1.0,0,0
9,11,1.0,0,0
9,12,2.0,0,0
13,14,1.0,0,0
14,15,1.0,0,0
15,16,1.0,0,0
16,17,1.0,0,0
13,17,1.0,0,0
16,18,1.0,0,0
13,19,1.0,0,0
14,20,1.0,0,0
20,21,1.0,0,0
21,22,1.0,0,0
21,23,1.0,0,0
21,24,2.0,0,0
11,19,1.0,0,0
25,26,1.0,0,0
26,27,1.0,0,0
27,28,1.0,0,0
28,29,1.0,0,0
25,29,1.0,0,0
28,30,1.0,0,0
25,31,1.0,0,0
26,32,1.0,0,0
23,31,1.0,0,0
7,33,1.0,0,0
33,34,2.0,0,0
33,35,1.0,0,0
33,36,1.0,0,0
