src,dst,type,aromacity,conjugation
24,25,1.0,0,1
25,21,1.0,0,1
10,7,1.0,0,0
5,26,2.0,0,1
23,0,5,1,1
2,27,1.0,0,1
4,1,5,1,1
29,28,1.0,0,0
0,9,5,1,1
14,12,1.0,0,0
12,13,1.0,0,0
13,11,1.0,0,0
4,6,5,1,1
29,30,2.0,0,1
30,31,1.0,0,1
32,33,1.0,0,0
31,32,1.0,0,0
32,5,1.0,0,0
5,4,1.0,0,1
32,34,1.0,0,0
27,35,1.0,0,0
14,15,1.0,0,0
35,36,1.0,0,0
17,16,1.0,0,0
36,37,1.0,0,1
16,14,1.0,0,0
36,38,2.0,0,1
33,6,1.0,0,1
18,39,1.0,0,0
6,8,5,1,1
28,40,1.0,0,0
7,28,1.0,0,0
40,41,1.0,0,0
0,1,5,1,1
7,42,1.0,0,0
13,47,1.0,0,0
21,18,1.0,0,1
12,43,1.0,0,0
18,19,2.0,0,1
16,44,1.0,0,0
19,20,1.0,0,1
11,45,1.0,0,0
20,17,2.0,0,1
10,46,1.0,0,0
1,2,5,1,1
2,3,5,1,1
46,48,1.0,0,1
3,24,5,1,1
48,49,1.0,0,0
8,9,5,1,1
48,50,2.0,0,1
11,10,1.0,0,0
23,51,1.0,0,1
21,22,2.0,0,1
9,52,1.0,0,1
23,24,5,1,1
8,53,1.0,0,0
