src,dst,type,aromacity,conjugation
0,1,1.0,0,0
0,2,1.0,0,0
0,3,1.0,0,0
1,4,5,1,1
1,5,5,1,1
2,6,1.0,0,0
2,7,1.0,0,0
3,8,1.0,0,0
4,9,5,1,1
4,10,5,1,1
5,11,5,1,1
6,12,1.0,0,0
7,13,1.0,0,0
8,14,1.0,0,0
9,15,5,1,1
10,16,5,1,1
13,17,1.0,0,0
13,18,1.0,0,0
13,19,2.0,0,0
14,20,1.0,0,0
15,21,5,1,1
15,22,1.0,0,1
20,23,1.0,0,0
23,24,1.0,0,0
23,25,1.0,0,0
23,26,2.0,0,0
24,27,1.0,0,0
27,28,1.0,0,0
27,29,1.0,0,0
27,30,2.0,0,0
28,31,1.0,0,0
32,31,1.0,0,0
32,33,1.0,0,0
32,34,1.0,0,0
33,35,1.0,0,0
34,36,1.0,0,0
34,37,1.0,0,0
35,38,1.0,0,0
36,39,1.0,0,0
38,40,1.0,0,1
38,41,1.0,0,1
40,42,2.0,0,1
41,43,2.0,0,1
42,44,1.0,0,0
42,45,1.0,0,1
45,46,1.0,0,1
45,47,2.0,0,1
6,8,1.0,0,0
9,11,5,1,1
16,21,5,1,1
35,36,1.0,0,0
43,44,1.0,0,0
