src,dst,type,aromacity,conjugation
3,7,1.0,0,0
6,8,1.0,0,0
5,6,1.0,0,0
0,1,1.0,0,0
0,2,1.0,0,0
1,3,1.0,0,0
1,4,1.0,0,0
2,5,1.0,0,0
3,6,1.0,0,0
9,10,1.0,0,0
9,11,1.0,0,0
9,12,1.0,0,0
10,13,1.0,0,0
10,14,1.0,0,0
10,15,1.0,0,0
11,16,1.0,0,0
11,17,1.0,0,0
11,18,1.0,0,0
12,19,1.0,0,0
13,20,1.0,0,0
13,21,1.0,0,0
13,22,1.0,0,0
14,23,1.0,0,0
16,24,1.0,0,0
17,25,1.0,0,0
20,26,1.0,0,0
21,27,1.0,0,0
24,28,1.0,0,0
24,29,1.0,0,0
24,30,1.0,0,0
26,31,1.0,0,0
26,32,1.0,0,0
28,33,1.0,0,0
31,34,1.0,0,0
31,35,1.0,0,0
32,36,1.0,0,0
34,37,1.0,0,0
35,38,1.0,0,1
35,39,2.0,0,1
36,40,1.0,0,0
36,41,1.0,0,0
16,23,1.0,0,0
19,20,2.0,0,0
25,28,1.0,0,0
27,31,1.0,0,0
36,37,1.0,0,0
0,33,1.0,0,0
29,42,1.0,0,0
