src,dst,type,aromacity,conjugation
0,1,1.0,0,1
0,2,5,1,1
0,3,5,1,1
1,4,5,1,1
1,5,5,1,1
2,6,5,1,1
2,7,1.0,0,0
3,8,5,1,1
3,9,1.0,0,1
4,10,1.0,0,0
4,11,5,1,1
5,12,5,1,1
5,13,1.0,0,1
6,14,5,1,1
7,15,1.0,0,0
8,16,1.0,0,1
10,17,1.0,0,0
11,18,5,1,1
12,19,1.0,0,1
14,20,1.0,0,1
16,21,1.0,0,1
16,22,2.0,0,1
23,17,1.0,0,0
18,24,1.0,0,0
19,25,1.0,0,1
19,26,2.0,0,1
20,27,1.0,0,1
20,28,2.0,0,1
21,29,5,1,1
23,30,1.0,0,0
23,31,1.0,0,0
25,32,1.0,0,0
27,33,5,1,1
29,34,5,1,1
30,35,1.0,0,0
30,36,1.0,0,0
31,37,1.0,0,0
32,38,1.0,0,0
32,39,1.0,0,0
33,40,5,1,1
33,41,1.0,0,1
34,42,1.0,0,1
35,43,1.0,0,0
35,44,1.0,0,0
37,45,1.0,0,0
38,46,1.0,0,1
38,47,2.0,0,1
42,48,1.0,0,0
43,49,1.0,0,0
50,44,1.0,0,0
49,51,1.0,0,0
50,52,1.0,0,0
50,53,1.0,0,0
52,54,1.0,0,0
52,55,1.0,0,0
53,56,1.0,0,0
54,57,1.0,0,0
54,58,1.0,0,0
57,59,1.0,0,0
7,10,1.0,0,0
8,14,5,1,1
12,18,5,1,1
21,27,5,1,1
34,40,5,1,1
37,43,1.0,0,0
56,57,1.0,0,0
