src,dst,type,aromacity,conjugation
0,1,1.0,0,0
1,2,1.0,0,0
2,3,1.0,0,0
3,4,1.0,0,0
4,5,1.0,0,0
0,5,1.0,0,0
6,7,1.0,0,0
7,8,1.0,0,0
8,9,1.0,0,0
9,10,1.0,0,0
10,11,1.0,0,0
6,11,1.0,0,0
12,13,1.0,0,0
13,14,1.0,0,0
14,15,1.0,0,0
15,16,1.0,0,0
16,17,1.0,0,0
12,17,1.0,0,0
23,24,1.0,0,0
18,19,1.0,0,0
18,20,1.0,0,0
19,21,1.0,0,0
19,22,1.0,0,0
20,23,1.0,0,0
21,24,1.0,0,0
21,25,1.0,0,0
23,26,1.0,0,0
27,28,1.0,0,0
27,29,1.0,0,0
27,30,1.0,0,0
27,31,1.0,0,0
28,32,1.0,0,0
28,33,1.0,0,0
28,34,1.0,0,0
29,35,1.0,0,0
29,36,1.0,0,0
30,37,1.0,0,0
32,38,1.0,0,0
32,39,1.0,0,0
33,40,1.0,0,0
35,41,1.0,0,0
35,42,1.0,0,0
35,43,1.0,0,0
38,44,1.0,0,0
38,45,1.0,0,0
40,46,1.0,0,0
41,47,1.0,0,0
42,48,1.0,0,0
44,49,1.0,0,0
45,50,1.0,0,0
47,51,1.0,0,0
47,52,1.0,0,0
47,53,1.0,0,0
49,54,1.0,0,0
50,55,1.0,0,0
50,56,1.0,0,0
51,57,1.0,0,0
36,39,1.0,0,0
37,41,1.0,0,0
40,44,1.0,0,0
48,51,1.0,0,0
50,54,1.0,0,0
18,57,1.0,0,0
32,58,1.0,0,0
44,59,1.0,0,0
58,59,1.0,0,0
26,60,1.0,0,1
26,61,2.0,0,1
24,62,1.0,0,0
12,22,1.0,0,0
16,63,1.0,0,0
63,64,1.0,0,0
15,65,1.0,0,0
14,66,1.0,0,0
13,67,1.0,0,0
10,25,1.0,0,0
6,68,1.0,0,0
68,69,1.0,0,0
7,70,1.0,0,0
8,71,1.0,0,0
9,72,1.0,0,0
0,72,1.0,0,0
1,73,1.0,0,0
2,74,1.0,0,0
3,75,1.0,0,0
4,76,1.0,0,0
