src,dst,type,aromacity,conjugation
0,1,1.0,0,0
0,2,1.0,0,0
0,3,1.0,0,0
0,4,1.0,0,0
1,5,1.0,0,0
1,6,1.0,0,0
1,7,1.0,0,0
2,8,1.0,0,0
2,9,1.0,0,0
2,10,1.0,0,0
3,11,1.0,0,0
3,12,1.0,0,0
4,13,1.0,0,0
4,14,1.0,0,0
5,15,1.0,0,0
6,16,1.0,0,0
7,17,1.0,0,0
7,18,1.0,0,0
8,19,1.0,0,0
8,20,1.0,0,0
10,21,2.0,0,1
11,22,1.0,0,0
13,23,1.0,0,0
16,24,1.0,0,0
16,25,1.0,0,0
16,26,1.0,0,0
17,27,2.0,0,1
19,28,1.0,0,0
19,29,1.0,0,0
28,30,2.0,0,1
5,9,1.0,0,0
6,11,1.0,0,0
8,13,1.0,0,0
10,12,1.0,0,1
15,17,1.0,0,1
23,28,1.0,0,1
