src,dst,type,aromacity,conjugation
10,12,1.0,0,0
11,13,1.0,0,0
11,14,1.0,0,0
12,15,1.0,0,0
12,16,1.0,0,0
13,17,1.0,0,0
13,3,1.0,0,0
14,18,1.0,0,0
15,19,1.0,0,0
17,20,1.0,0,0
18,21,1.0,0,0
18,22,1.0,0,0
18,23,2.0,0,0
19,24,1.0,0,0
24,25,1.0,0,0
24,26,1.0,0,0
24,27,2.0,0,0
15,17,1.0,0,0
1,3,1.0,0,0
1,4,2.0,0,0
0,1,1.0,0,0
1,2,1.0,0,0
5,6,1.0,0,0
5,7,2.0,0,0
5,8,1.0,0,0
5,9,1.0,0,0
10,6,1.0,0,0
10,11,1.0,0,0
25,28,1.0,0,0
28,29,1.0,0,0
29,30,1.0,0,0
29,31,1.0,0,0
30,32,1.0,0,0
31,33,1.0,0,1
32,34,1.0,0,1
33,35,2.0,0,1
33,36,1.0,0,0
34,37,2.0,0,1
34,38,1.0,0,0
