src,dst,type,aromacity,conjugation
0,1,1.0,0,0
0,2,1.0,0,0
0,3,1.0,0,0
1,4,1.0,0,0
1,5,1.0,0,0
2,6,1.0,0,0
2,7,1.0,0,0
3,8,1.0,0,1
4,9,1.0,0,0
5,10,1.0,0,0
6,11,1.0,0,0
7,12,1.0,0,1
8,13,1.0,0,0
8,14,2.0,0,1
9,15,1.0,0,0
10,16,1.0,0,0
10,17,1.0,0,0
10,18,2.0,0,0
12,19,1.0,0,0
12,20,2.0,0,1
13,21,1.0,0,0
16,22,1.0,0,0
19,23,1.0,0,0
21,24,1.0,0,0
21,25,1.0,0,0
22,26,1.0,0,0
22,27,1.0,0,0
22,28,2.0,0,0
23,29,1.0,0,0
23,30,1.0,0,0
24,31,1.0,0,0
26,32,1.0,0,0
29,33,1.0,0,0
31,34,1.0,0,0
35,32,1.0,0,0
33,36,1.0,0,0
34,37,1.0,0,0
35,38,1.0,0,0
35,39,1.0,0,0
36,40,1.0,0,0
37,41,1.0,0,0
38,42,1.0,0,0
39,43,1.0,0,0
39,44,1.0,0,0
40,45,1.0,0,0
41,46,1.0,0,0
42,47,1.0,0,0
43,48,1.0,0,0
45,49,1.0,0,0
46,50,1.0,0,0
47,51,5,1,1
47,52,5,1,1
49,53,1.0,0,0
50,54,1.0,0,0
51,55,5,1,1
51,56,2.0,0,1
52,57,5,1,1
53,58,1.0,0,0
54,59,1.0,0,0
55,60,5,1,1
58,61,1.0,0,0
59,62,1.0,0,0
60,63,2.0,0,1
61,64,1.0,0,0
62,65,1.0,0,0
64,66,1.0,0,0
6,9,1.0,0,0
42,43,1.0,0,0
57,60,5,1,1
15,67,1.0,0,0
