src,dst,type,aromacity,conjugation
0,1,1.0,0,0
0,2,1.0,0,0
0,3,1.0,0,0
0,4,1.0,0,0
1,5,1.0,0,0
1,6,1.0,0,0
2,7,1.0,0,0
2,8,1.0,0,0
3,9,1.0,0,0
3,10,1.0,0,0
4,11,1.0,0,0
5,12,1.0,0,0
5,13,1.0,0,0
6,14,1.0,0,0
6,15,1.0,0,0
7,16,1.0,0,0
7,17,1.0,0,0
7,18,1.0,0,0
8,19,1.0,0,0
12,20,1.0,0,0
13,21,1.0,0,1
13,22,2.0,0,1
14,23,2.0,0,1
15,24,1.0,0,1
16,25,1.0,0,0
17,26,1.0,0,0
21,27,1.0,0,0
24,28,1.0,0,1
24,29,2.0,0,1
25,30,2.0,0,1
25,31,1.0,0,0
26,32,2.0,0,1
28,33,2.0,0,1
30,34,1.0,0,1
33,35,1.0,0,0
33,36,1.0,0,0
35,37,1.0,0,0
35,38,1.0,0,0
5,11,1.0,0,0
8,12,1.0,0,0
9,16,1.0,0,0
10,14,1.0,0,1
26,30,1.0,0,1
