src,dst,type,aromacity,conjugation
0,1,5,1,1
0,2,1.0,0,0
0,3,5,1,1
1,4,5,1,1
1,5,1.0,0,0
2,6,1.0,0,0
3,7,5,1,1
4,8,1.0,0,0
5,9,1.0,0,0
6,10,5,1,1
6,11,5,1,1
7,12,1.0,0,0
8,13,1.0,0,0
9,14,1.0,0,0
10,15,5,1,1
10,16,1.0,0,0
11,17,5,1,1
12,18,1.0,0,0
13,19,1.0,0,1
13,20,2.0,0,1
14,21,1.0,0,1
14,22,2.0,0,1
15,23,1.0,0,0
16,24,1.0,0,0
17,25,1.0,0,0
18,26,5,1,1
18,27,5,1,1
23,28,1.0,0,0
24,29,1.0,0,1
24,30,2.0,0,1
25,31,1.0,0,0
26,32,5,1,1
26,33,1.0,0,0
27,34,5,1,1
28,35,1.0,0,0
31,36,5,1,1
31,37,5,1,1
32,38,1.0,0,0
33,39,1.0,0,0
34,40,1.0,0,0
35,41,1.0,0,1
35,42,2.0,0,1
36,43,5,1,1
36,44,1.0,0,0
37,45,5,1,1
38,46,1.0,0,0
39,47,1.0,0,0
40,48,1.0,0,0
43,49,1.0,0,0
44,50,1.0,0,0
46,51,1.0,0,1
46,52,2.0,0,1
47,53,1.0,0,1
47,54,2.0,0,1
49,55,1.0,0,0
50,56,1.0,0,1
50,57,2.0,0,1
55,58,1.0,0,0
58,59,1.0,0,1
58,60,2.0,0,1
4,7,5,1,1
15,17,5,1,1
32,34,5,1,1
43,45,5,1,1
