src,dst,type,aromacity,conjugation
0,1,1.0,0,0
1,2,2.0,0,0
2,3,1.0,0,0
2,4,1.0,0,0
10,11,1.0,0,1
10,12,2.0,0,1
11,13,1.0,0,1
11,14,2.0,0,1
12,15,1.0,0,1
12,16,1.0,0,0
13,17,2.0,0,1
13,18,1.0,0,1
15,19,2.0,0,1
18,20,1.0,0,0
15,17,1.0,0,1
5,6,1.0,0,0
6,7,2.0,0,0
7,8,1.0,0,0
7,9,1.0,0,0
8,0,1.0,0,0
21,22,1.0,0,0
22,23,2.0,0,0
23,24,1.0,0,0
23,25,1.0,0,0
5,24,1.0,0,0
26,27,1.0,0,0
27,28,2.0,0,0
28,29,1.0,0,0
28,30,1.0,0,0
21,29,1.0,0,0
31,32,1.0,0,0
32,33,2.0,0,0
33,34,1.0,0,0
33,35,1.0,0,0
26,34,1.0,0,0
36,37,1.0,0,0
37,38,2.0,0,0
38,39,1.0,0,0
38,40,1.0,0,0
31,39,1.0,0,0
36,10,1.0,0,0
