src,dst,type,aromacity,conjugation
0,1,5,1,1
1,2,5,1,1
2,3,5,1,1
3,4,5,1,1
0,4,5,1,1
4,5,1.0,0,0
5,6,1.0,0,0
1,7,1.0,0,0
7,8,1.0,0,0
8,9,1.0,0,1
9,10,5,1,1
10,11,5,1,1
11,12,5,1,1
12,13,5,1,1
13,14,5,1,1
9,14,5,1,1
12,15,1.0,0,0
15,16,1.0,0,0
16,17,1.0,0,0
17,18,1.0,0,1
18,19,2.0,0,1
18,20,1.0,0,0
20,21,1.0,0,0
21,22,1.0,0,0
22,23,1.0,0,0
22,24,1.0,0,0
23,25,1.0,0,1
23,26,2.0,0,1
24,27,1.0,0,1
27,28,1.0,0,0
27,29,2.0,0,1
28,30,1.0,0,0
30,31,1.0,0,0
31,32,1.0,0,0
32,33,2.0,0,1
32,34,1.0,0,1
31,35,1.0,0,0
35,36,1.0,0,1
36,37,2.0,0,1
36,38,1.0,0,0
38,39,1.0,0,0
39,40,1.0,0,0
40,41,1.0,0,0
40,42,1.0,0,0
42,43,1.0,0,0
42,44,1.0,0,0
44,45,1.0,0,0
45,46,1.0,0,0
46,47,2.0,0,1
46,48,1.0,0,1
43,49,2.0,0,1
43,50,1.0,0,1
41,51,2.0,0,1
41,52,1.0,0,1
