src,dst,type,aromacity,conjugation
1,4,5,1,1
1,5,1.0,0,0
2,6,2.0,0,1
3,7,5,1,1
4,8,1.0,0,0
6,9,1.0,0,1
6,10,1.0,0,1
7,11,1.0,0,1
9,12,2.0,0,1
9,13,1.0,0,0
10,14,2.0,0,1
11,15,2.0,0,1
12,16,1.0,0,0
13,17,1.0,0,0
14,18,1.0,0,1
15,19,1.0,0,1
15,20,1.0,0,1
17,21,1.0,0,0
18,22,2.0,0,1
19,23,1.0,0,0
19,24,2.0,0,1
20,25,1.0,0,1
21,26,1.0,0,1
21,27,2.0,0,1
22,28,1.0,0,1
22,29,1.0,0,1
23,30,1.0,0,0
24,31,1.0,0,0
25,32,2.0,0,1
28,33,2.0,0,1
28,34,1.0,0,0
29,35,1.0,0,1
33,36,1.0,0,1
35,37,2.0,0,1
36,38,2.0,0,1
4,7,5,1,1
12,14,1.0,0,1
23,25,1.0,0,0
33,35,1.0,0,1
5,39,1.0,0,0
0,1,5,1,1
39,40,1.0,0,0
0,2,1.0,0,1
40,41,2.0,0,1
0,3,5,1,1
40,42,1.0,0,1
