src,dst,type,aromacity,conjugation
0,1,1.0,0,0
0,2,1.0,0,0
0,3,1.0,0,0
1,4,1.0,0,0
1,5,1.0,0,0
2,6,1.0,0,0
3,7,1.0,0,0
4,8,1.0,0,0
4,9,1.0,0,0
5,10,1.0,0,0
6,11,1.0,0,0
6,12,1.0,0,0
7,13,1.0,0,0
8,14,1.0,0,0
10,15,1.0,0,0
10,16,1.0,0,0
10,17,2.0,0,0
11,18,1.0,0,0
11,19,1.0,0,0
12,20,1.0,0,0
12,21,1.0,0,0
13,22,1.0,0,0
15,23,1.0,0,0
18,24,1.0,0,0
18,25,1.0,0,0
26,23,1.0,0,0
24,27,1.0,0,0
25,28,1.0,0,0
26,29,1.0,0,0
26,30,1.0,0,0
27,31,1.0,0,0
27,32,1.0,0,0
29,33,1.0,0,0
29,34,1.0,0,0
30,35,1.0,0,0
31,36,1.0,0,0
31,37,1.0,0,0
32,38,1.0,0,0
33,39,1.0,0,0
35,40,1.0,0,0
36,41,1.0,0,0
38,42,1.0,0,0
41,43,1.0,0,0
7,8,1.0,0,0
20,25,1.0,0,0
33,35,1.0,0,0
38,41,1.0,0,0
