src,dst,type,aromacity,conjugation
0,1,1.0,0,0
0,2,1.0,0,0
0,3,1.0,0,0
1,4,1.0,0,0
1,5,1.0,0,0
2,6,1.0,0,0
2,7,1.0,0,0
3,8,1.0,0,0
5,9,1.0,0,0
6,10,1.0,0,0
8,11,1.0,0,0
8,12,1.0,0,0
8,13,2.0,0,0
9,14,1.0,0,0
11,15,1.0,0,0
14,16,1.0,0,0
14,17,1.0,0,0
14,18,2.0,0,0
19,15,1.0,0,0
20,16,1.0,0,0
19,21,1.0,0,0
19,22,1.0,0,0
20,23,1.0,0,0
20,24,1.0,0,0
21,25,1.0,0,0
21,26,1.0,0,0
22,27,1.0,0,0
23,28,1.0,0,0
23,29,1.0,0,0
24,30,1.0,0,0
24,31,1.0,0,0
25,32,1.0,0,0
27,33,1.0,0,0
29,34,1.0,0,0
4,6,1.0,0,0
25,27,1.0,0,0
28,30,1.0,0,0
34,35,1.0,0,0
35,36,2.0,0,0
35,37,1.0,0,0
35,38,1.0,0,0
38,39,1.0,0,0
39,40,1.0,0,0
39,41,2.0,0,0
39,42,1.0,0,0
40,43,1.0,0,0
43,44,1.0,0,0
43,45,2.0,0,0
43,46,1.0,0,0
44,47,1.0,0,0
48,47,1.0,0,0
49,50,1.0,0,0
49,51,1.0,0,0
50,52,1.0,0,0
51,48,1.0,0,0
52,48,1.0,0,0
50,53,1.0,0,0
52,54,1.0,0,0
49,55,1.0,0,0
56,57,5,1,1
57,58,5,1,1
58,59,5,1,1
59,60,5,1,1
60,61,5,1,1
56,61,5,1,1
56,62,5,1,1
62,63,5,1,1
63,55,5,1,1
57,55,5,1,1
59,64,1.0,0,1
61,65,2.0,0,1
62,66,1.0,0,0
31,67,1.0,0,0
68,69,5,1,1
69,70,5,1,1
70,71,5,1,1
71,72,5,1,1
72,73,5,1,1
68,73,5,1,1
71,74,5,1,1
74,75,5,1,1
75,76,5,1,1
72,76,5,1,1
73,77,1.0,0,1
30,74,1.0,0,0
