src,dst,type,aromacity,conjugation
1,0,1.0,0,0
0,2,5,1,1
0,3,5,1,1
1,4,1.0,0,0
1,5,1.0,0,0
2,6,5,1,1
2,7,5,1,1
3,8,5,1,1
4,9,1.0,0,0
5,10,1.0,0,0
5,11,1.0,0,0
6,12,5,1,1
7,13,5,1,1
9,14,1.0,0,0
10,15,1.0,0,0
12,16,5,1,1
12,17,2.0,0,1
13,18,1.0,0,1
14,19,1.0,0,0
15,20,1.0,0,0
19,21,1.0,0,0
20,22,1.0,0,0
20,23,1.0,0,0
20,24,2.0,0,0
21,25,1.0,0,0
21,26,1.0,0,0
21,27,2.0,0,0
22,28,1.0,0,0
25,29,1.0,0,0
28,30,1.0,0,0
28,31,1.0,0,0
28,32,2.0,0,0
29,33,1.0,0,0
29,34,1.0,0,0
29,35,2.0,0,0
33,36,1.0,0,0
36,37,1.0,0,0
36,38,1.0,0,0
36,39,2.0,0,0
6,8,5,1,1
9,10,1.0,0,0
13,16,5,1,1
