src,dst,type,aromacity,conjugation
0,1,1.0,0,0
0,2,1.0,0,0
0,3,1.0,0,0
0,4,1.0,0,0
1,5,1.0,0,0
1,6,1.0,0,0
3,7,1.0,0,0
3,8,1.0,0,0
3,9,1.0,0,0
4,10,1.0,0,0
5,11,1.0,0,0
10,12,1.0,0,1
10,13,2.0,0,1
11,14,1.0,0,0
12,15,2.0,0,1
12,16,1.0,0,0
15,17,1.0,0,1
17,18,2.0,0,1
18,19,1.0,0,1
19,20,2.0,0,1
19,21,1.0,0,0
20,22,1.0,0,1
22,23,2.0,0,1
23,24,1.0,0,1
24,25,2.0,0,1
25,26,1.0,0,1
25,27,1.0,0,0
26,28,2.0,0,1
28,29,1.0,0,1
29,30,2.0,0,1
30,31,1.0,0,1
30,32,1.0,0,0
31,33,2.0,0,1
33,34,2.0,0,1
34,35,1.0,0,0
34,36,1.0,0,0
35,37,1.0,0,0
35,38,1.0,0,0
35,39,1.0,0,0
36,40,1.0,0,0
36,41,1.0,0,0
36,42,1.0,0,0
37,43,1.0,0,0
43,44,1.0,0,0
44,45,1.0,0,1
45,46,1.0,0,0
45,47,2.0,0,1
1,2,1.0,0,0
7,11,1.0,0,0
40,43,1.0,0,0
