src,dst,type,aromacity,conjugation
0,1,5,1,1
0,2,1.0,0,0
0,3,5,1,1
1,4,1.0,0,0
1,5,5,1,1
2,6,1.0,0,0
3,7,5,1,1
4,8,1.0,0,0
5,9,5,1,1
6,10,1.0,0,1
7,11,1.0,0,1
8,12,1.0,0,0
9,13,1.0,0,1
10,14,1.0,0,0
10,15,2.0,0,1
11,16,1.0,0,0
12,17,1.0,0,1
12,18,2.0,0,1
13,19,1.0,0,0
14,20,1.0,0,0
14,21,1.0,0,0
20,22,1.0,0,0
22,23,1.0,0,0
22,24,1.0,0,0
23,25,1.0,0,0
24,26,1.0,0,1
24,27,2.0,0,1
25,28,1.0,0,0
26,29,1.0,0,0
28,30,5,1,1
28,31,5,1,1
29,32,1.0,0,0
30,33,5,1,1
31,34,5,1,1
33,35,5,1,1
6,8,1.0,0,0
7,9,5,1,1
34,35,5,1,1
